speyeria_diana
Record.Number,Scientific.Name,Sex,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
1269386,Speyeria diana,M,07/01/2019,12/04/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaTransylvania County,35.36440264158487,-82.77777610036506,point record,,Male observed well along gravel forest road north of Pink Beds.,JerryGriggs (116924),,,12/04/2020 16:35:53
1271932,Speyeria diana,M,07/08/2020,08/28/2020,Photograph,butterfly,Resident,United StatesWest VirginiaFayette County,37.979895,-80.94575300000001,point record,,Several dozen of these seen flying on the same date.,glassesguy (137920),,,08/28/2020 13:54:06
1274671,Speyeria diana,F,09/12/2020,09/15/2020,Photograph,butterfly,Resident,United StatesAlabamaCleburne County,33.69468788855894,-85.56019763500976,point record,,,lmreid71 (1302),,,09/15/2020 23:12:44
1274672,Speyeria diana,M,09/12/2020,09/15/2020,Photograph,butterfly,Resident,United StatesAlabamaCleburne County,33.7565080823458,-85.5427568511603,point record,,,lmreid71 (1302),,,09/15/2020 23:12:00
1286324,Speyeria diana,F,08/31/2020,04/22/2021,Photograph,butterfly,Unknown,United StatesTennesseeFentress County,36.4789533,-84.86011189999999,point record,Steeplechase Drive off Pickett Hwy. Basically a defunct subdivision with interested successional growth along the old graded road. We observed many individuals of this species shortly after we moved here. We plan to augment wildflowers here for insects.,We observed approximately 10 individuals.,Allen B (122304),,,04/22/2021 13:31:42
1294758,Speyeria diana,M,06/12/2021,06/15/2021,Photograph,butterfly,Resident,United StatesGeorgiaUnion County,34.7625158,-84.077253,point record,,,Dallasyork97 (137616),,,06/15/2021 11:25:02
1294806,Speyeria diana,M,06/13/2021,06/14/2021,Photograph,butterfly,Resident,United StatesOklahomaOkmulgee County,35.811253958772795,-96.14306329666786,point record,,"Heavily forested area, primarily Oak/Hickory.  Viola spp in evidence and seen feeding on butterfly milkweed.",niland (142067),,,06/14/2021 18:59:15
1295236,Speyeria diana,M,06/16/2021,06/17/2021,Photograph,butterfly,Resident,United StatesArkansasPope County,35.279108,-93.06286,point record,One half mile west of Gala Creek Lake,This male has been feeding on Bee Balm in my garden for two days. ,Larry S Price (4099),,,06/17/2021 07:26:24
1296563,Speyeria diana,M,06/23/2021,06/24/2021,Photograph,butterfly,Resident,United StatesOklahomaPittsburg County,35.2336409,-95.4799457,point record,,"Warm, sunny, winds out of the south, nectaring on echinacea and bee balm in my butterfly garden.",alstewart (142318),,,06/24/2021 15:09:37
1296765,Speyeria diana,F,06/23/2021,06/25/2021,Photograph,butterfly,Resident,United StatesOklahomaPittsburg County,35.2336409,-95.4799457,point record,,"Warm, sunny, winds out of the south, nectaring on echinacea and bee balm in my butterfly garden.  There are 2 butterflies in the picture, you verified the orange one as Diana Fritillary, male.  I was wondering is the orange/blue butterfly located in the front a female Diana Fritillary?  I didn't think too much about her because I thought it was a Swallowtail or a Red-spotted purple butterfly.  You can't tell in the photo but she looked like she had weathered a storm, her back end wings were very damaged.",alstewart (142318),,,06/25/2021 08:23:59
1297242,Speyeria diana,M,06/27/2021,07/06/2021,Photograph,butterfly,Resident,United StatesKansasSedgwick County,37.789538757391135,-97.35994263870057,point record,,"Male. Observed for 5 minutes, appeared to have a small tear in the wing. Have had heavy storms, wind and rain for a few days.",tomewert (142436),,,07/06/2021 10:12:14
1297628,Speyeria diana,M,06/26/2021,06/29/2021,Photograph,butterfly,Resident,United StatesOklahomaOkmulgee County,35.812277976027865,-96.14405790334136,point record,,Observed multiple males and females feeding on milkweed and bee balm in meadow adjacent to wooded area.  ,niland (142067),,,06/29/2021 18:38:43
1298408,Speyeria diana,M,06/23/2021,07/05/2021,Photograph,butterfly,Resident,United StatesNorth CarolinaMadison County,35.86635795305581,-82.75818281484378,point record,,,jopalmer (142611),,,07/05/2021 05:39:08
1298409,Speyeria diana,F,06/27/2021,07/05/2021,Photograph,butterfly,Resident,United StatesNorth CarolinaMadison County,35.87080941016756,-82.75268965078128,point record,,,jopalmer (142611),,,07/05/2021 05:38:41
1298818,Speyeria diana,M,06/26/2021,07/05/2021,Photograph,butterfly,Resident,VirginiaUnited States,37.3631631014184,-80.31880042908989,point record,3 miles above Caldwell Field on Lee Rd,Several males on milkweed at spring next to road. One landed on wife's pants. Photos are same individual.,drerbium (87584),,,07/05/2021 19:30:48
1307090,Speyeria diana,M,08/15/2021,08/16/2021,Photograph,butterfly,Resident,United StatesNorth CarolinaTransylvania County,35.31026790529202,-82.6879776855761,point record,,,SteveMatadobra (143564),,,08/16/2021 04:27:00
1309749,Speyeria diana,M,08/29/2021,08/29/2021,Sighting,butterfly,Resident,Wythe CountyVirginiaUnited States,37.02427601128092,-81.17924069275621,point record,,On tall thistle on dirt roadside in woods.,drerbium (87584),,,08/29/2021 20:16:02
1309750,Speyeria diana,F,08/29/2021,08/29/2021,Sighting,butterfly,Resident,Wythe CountyVirginiaUnited States,37.04069323464176,-81.20909376724929,point record,,Cloudy but warm day. On thistle on edge highway. Several females,drerbium (87584),,,08/29/2021 20:23:24
1309779,Speyeria diana,F,07/05/2021,08/30/2021,Sighting,butterfly,Resident,Craig CountyVirginiaUnited States,37.586521857567426,-80.13863009270656,point record,On large stand of milkweed. Rough road to jeep trail,Several in patch of milkweed.,drerbium (87584),,,08/30/2021 07:25:35
1310896,Speyeria diana,F,09/06/2021,09/07/2021,Sighting,butterfly,Resident,Montgomery CountyVirginiaUnited States,37.33472727710743,-80.33130565755073,point record,On thistle right next to road ,"Sunny day, near 80F, 4 female Dianas among several Great Spangled",drerbium (87584),,,09/07/2021 07:38:26
1314552,Speyeria diana,M,06/17/2021,10/15/2021,Photograph,butterfly,Resident,United StatesOklahomaTulsa County,35.89169681008758,-95.79679012298584,point record,"at Lake Bixhoma Park, near Leonard, OK",seen nectaring on butterfly milkweed,Jay Pruett (144961),,,10/15/2021 18:40:52
